date,bud,ngz,vnt,imp,oth,,,
12/31/2007,889.41,312.37,170.02,152.13,254.88,,,
1/31/2008,691.30,303.36,216.78,89.40,81.76,,,
2/29/2008,631.20,371.20,11.63,122.48,125.90,,,
3/31/2008,610.17,328.88,63.04,136.69,81.56,,,
4/30/2008,1091.84,345.37,487.24,154.22,105.00,,,
5/31/2008,675.64,368.01,51.80,150.82,105.01,,,
6/30/2008,670.57,391.40,30.24,149.81,99.12,,,
7/31/2008,1306.09,454.60,540.99,175.23,135.27,,,
8/31/2008,727.69,432.35,43.36,160.30,91.68,,,
9/30/2008,751.22,435.77,50.78,171.13,93.53,,,
10/31/2008,937.06,411.78,254.53,180.14,90.62,,,
11/30/2008,570.57,303.09,58.83,137.65,71.01,,,
12/31/2008,610.75,243.62,75.54,166.77,124.82,,,
1/31/2009,771.98,179.11,183.19,68.47,341.20,,,
2/28/2009,448.28,164.68,107.20,109.05,67.36,,,
3/31/2009,512.42,165.30,149.57,124.11,73.44,,,
4/30/2009,488.75,168.70,105.66,112.04,102.36,,,
5/31/2009,419.98,175.76,76.71,100.12,67.39,,,
6/30/2009,530.74,199.88,85.92,105.66,139.28,,,
7/31/2009,633.62,272.37,136.76,113.03,111.46,,,
8/31/2009,840.00,309.24,114.50,107.15,309.12,,,
9/30/2009,762.40,360.57,132.64,122.43,147.00,,,
10/31/2009,673.21,295.45,137.47,124.32,115.97,,,
11/30/2009,658.28,305.50,98.88,123.02,130.89,,,
12/31/2009,890.86,387.40,125.25,150.99,227.22,,,
1/31/2010,737.56,294.55,197.53,72.61,172.87,,,
2/28/2010,570.77,300.77,115.80,105.57,48.63,,,
3/31/2010,646.55,282.28,166.58,130.90,66.79,,,
4/30/2010,663.39,271.85,132.14,129.08,130.31,,,
5/31/2010,577.40,319.87,84.43,137.37,35.72,,,
6/30/2010,802.19,321.62,122.06,148.51,210.01,,,
7/31/2010,660.57,314.99,143.57,150.71,51.29,,,
8/31/2010,642.03,315.47,107.85,169.40,49.30,,,
9/30/2010,708.16,309.47,176.59,121.35,100.75,,,
10/31/2010,712.91,320.52,174.88,115.64,101.87,,,
11/30/2010,710.13,349.65,96.37,125.89,138.22,,,
12/31/2010,872.17,429.63,179.86,137.52,125.15,,,
1/31/2011,804.90,355.60,212.10,100.80,136.40,,,
2/28/2011,700.80,336.70,117.00,150.10,97.00,,,
3/31/2011,887.20,441.80,216.00,192.30,37.10,,,
4/30/2011,946.90,446.50,230.10,182.10,88.20,,,
5/31/2011,860.30,486.40,150.80,183.50,39.60,,,
6/30/2011,1106.40,473.40,229.90,177.50,225.50,,,
7/31/2011,927.40,479.40,205.70,178.50,63.90,,,
8/31/2011,986.40,489.20,176.60,204.10,116.60,,,
9/30/2011,992.80,480.90,234.30,199.50,78.00,,,
10/31/2011,1027.80,545.40,192.50,210.20,79.60,,,
11/30/2011,924.00,523.50,105.80,227.70,67.10,,,
12/31/2011,1202.90,583.00,256.90,230.40,132.60,,,
1/31/2012,1059.60,530.20,214.50,137.40,177.40,,,
2/29/2012,806.40,485.60,100.20,176.90,43.80,,,
3/31/2012,1100.30,529.10,287.00,200.00,84.30,,,
4/30/2012,1092.40,559.90,257.20,188.80,86.50,,,
